Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"22-Feb-12","unilateral high cable fly","1","24 lb","12",""
"22-Feb-12","unilateral high cable fly","2","24 lb","10",""
"22-Feb-12","weighted pushup","1","5 lb","8",""
"22-Feb-12","weighted pushup","2","5 lb","5",""
"22-Feb-12","two-point bridge","1","0 lb","6",""
"22-Feb-12","two-point bridge","2","0 lb","8",""
"22-Feb-12","dumbbell incline bench press","1","12 lb","35",""
"22-Feb-12","dumbbell incline bench press","2","12 lb","35",""
"22-Feb-12","unilateral low cable fly","1","12 lb","12",""
"22-Feb-12","unilateral low cable fly","2","24 lb","6",""
"22-Feb-12","dumbbell flye","1","25 lb","10",""
"22-Feb-12","dumbbell flye","2","25 lb","10",""

"23-Feb-12","cable standing close row","1","50 lb","10",""
"23-Feb-12","cable standing close row","2","50 lb","10",""
"23-Feb-12","dumbbell deadlift","1","35 lb","10",""
"23-Feb-12","dumbbell deadlift","2","35 lb","10",""
"23-Feb-12","one-arm row","1","25 lb","12",""
"23-Feb-12","one-arm row","2","30 lb","12",""
"23-Feb-12","seated bent over row","1","15 lb","12",""
"23-Feb-12","seated bent over row","2","20 lb","12",""
"23-Feb-12","lat pulldown","1","90 lb","12",""
"23-Feb-12","lat pulldown","2","90 lb","12",""
"23-Feb-12","lat pulldown","3","90 lb","8","at the end"
"23-Feb-12","lat pulldown","4","90 lb","8","at the end"

"26-Feb-12","triceps kickback","1","15 lb","12",""
"26-Feb-12","triceps kickback","2","15 lb","12",""
"26-Feb-12","dumbbell biceps curl","1","20 lb","12",""
"26-Feb-12","dumbbell biceps curl","2","20 lb","12",""
"26-Feb-12","hammer curl","1","20 lb","12",""
"26-Feb-12","hammer curl","2","20 lb","12",""
"26-Feb-12","incline dumbbell curl","1","15 lb","12",""
"26-Feb-12","incline dumbbell curl","2","15 lb","12",""
"26-Feb-12","lying triceps extension","1","25 lb","9",""
"26-Feb-12","lying triceps extension","2","25 lb","6",""
"26-Feb-12","lying triceps extension","3","25 lb","4",""
"26-Feb-12","standing triceps extension","1","20 lb","10",""
"26-Feb-12","standing triceps extension","2","20 lb","8",""
"26-Feb-12","zottman curl","1","20 lb","10",""
"26-Feb-12","zottman curl","2","20 lb","7",""

"28-Feb-12","hanging knee raise","1","0 lb","12",""
"28-Feb-12","hanging knee raise","2","0 lb","12",""
"28-Feb-12","hanging knee raise","3","0 lb","12",""
